Country,Year,Avg_Temp,co2,methane,nitrous_oxide,total_ghg,Food_Production_Tonnes,Temp_Category,Carbon_Intensity_Index
Austria,2013,0.0,3.0,1.0,2.0,2.0,0.0,Cold,5.014554024894344e-06
Azerbaijan,2000,1.0,2.0,1.0,1.0,1.0,0.0,Moderate,1.6028164953897334e-06
Azerbaijan,2001,1.0,2.0,1.0,1.0,1.0,0.0,Moderate,1.4169245900413178e-06
Azerbaijan,2002,1.0,2.0,1.0,1.0,1.0,0.0,Moderate,1.3710893346716486e-06
Azerbaijan,2003,1.0,2.0,1.0,1.0,1.0,0.0,Moderate,1.5546684286148222e-06
Azerbaijan,2004,1.0,2.0,1.0,1.0,1.0,0.0,Moderate,1.4488636335719314e-06
Azerbaijan,2005,1.0,2.0,1.0,1.0,2.0,1.0,Moderate,1.3242771292923737e-06
Azerbaijan,2006,1.0,2.0,1.0,1.0,2.0,1.0,Moderate,1.3801658761874914e-06
Azerbaijan,2007,1.0,2.0,2.0,1.0,2.0,1.0,Moderate,1.275858175463574e-06
Azerbaijan,2008,1.0,2.0,2.0,2.0,2.0,1.0,Moderate,1.2306197784016127e-06
Azerbaijan,2009,1.0,2.0,2.0,2.0,2.0,1.0,Moderate,9.986036604811696e-07
Azerbaijan,2010,1.0,2.0,2.0,2.0,2.0,1.0,Moderate,8.304553414912414e-07
Azerbaijan,2011,1.0,2.0,2.0,2.0,2.0,1.0,Moderate,9.22506977894268e-07
Azerbaijan,2012,1.0,2.0,2.0,2.0,2.0,1.0,Moderate,9.58288689194698e-07
Azerbaijan,2013,1.0,2.0,2.0,2.0,2.0,1.0,Moderate,9.405525582129764e-07
Bahamas,2000,3.0,1.0,0.0,0.0,0.0,0.0,Hot,5.88480548746505e-07
Bahamas,2001,3.0,1.0,0.0,0.0,0.0,0.0,Hot,6.122784165305719e-07
Bahamas,2002,3.0,1.0,0.0,0.0,0.0,0.0,Hot,6.258071386802445e-07
Bahamas,2003,3.0,1.0,0.0,0.0,0.0,0.0,Hot,6.34010023055502e-07
Bahamas,2004,3.0,1.0,0.0,0.0,0.0,0.0,Hot,5.750215442426958e-07
Bahamas,2005,3.0,1.0,0.0,0.0,0.0,0.0,Hot,5.196274524953642e-07
